time,Addis Ababa ,Alemaya,Ambo ,Arba Minch,Awassa,Bahir Dar ,Debre Berhan,Debre Markos,Debre Tabor,Gambela,Gondar ,Gore,Humera,Jinka,Mankush,Mehal Meda ,Metehara ,Metema,Nedjo,Sirinka
2020-02-03,26.279999,0.71,0.27499998,9.02,0.0,0.0,2.49,0.0,0.0,0.0,0.044999998,0.049999997,0.0,22.359999,0.0,0.14,0.0,0.0,0.0,0.0
2020-02-04,8.865,0.315,0.665,0.34999996,1.3249999,0.0,0.44,0.0,0.0,0.0,0.0,0.0,0.0,38.84,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-05,36.695,2.795,0.715,0.0,0.11,0.0,1.41,0.33499998,0.0,0.225,0.655,0.46999997,0.0,3.8249998,0.0,0.0,0.0,0.0,0.0,2.01
2020-02-06,3.325,3.6249995,0.0,0.0,0.235,0.0,0.435,0.0,0.0,0.0,0.48499998,2.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-07,4.84,0.0,0.0,0.775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0899999,0.0,0.0,0.0,0.0,0.0,0.0,1.265,0.0
2020-02-08,1.405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-09,1.01,0.0,0.0,0.0,0.0,0.0,2.865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-10,0.0,0.0,0.0,0.0,0.0,0.0,1.9950001,0.0,0.0,0.0,0.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-11,0.0,0.0,0.099999994,0.0,0.0,0.0,0.96500003,0.0,0.0,0.0,0.0,0.0,0.0,0.66999996,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-12,0.435,0.13499999,5.6,2.5950003,0.64,0.0,0.0,2.54,0.0,0.0,1.555,0.17999999,0.0,19.475,0.0,4.8,0.0,0.0,0.0,0.0
2020-02-13,12.625,0.52500004,0.0,5.22,0.0,0.0,0.24,4.2450004,0.049999997,0.99499995,0.0,4.8,0.0,11.085001,0.0,0.0,0.0,0.0,0.0,0.13
2020-02-14,1.97,0.0,0.0,0.185,0.14,0.0,0.62499994,0.0,0.0,0.0,0.0,0.81000006,0.0,2.78,0.0,0.0,0.0,0.0,0.0,0.265
2020-02-15,0.595,0.0,0.0,0.0,0.7900001,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.53499997,0.0,0.0,0.0,0.0,0.41500002,0.0
2020-02-16,2.3449998,0.0,0.44,0.42000002,12.364998,0.0,0.0,0.0,0.0,0.0,0.0,1.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-17,14.905,0.0,0.0,0.0,6.7750006,0.83000004,0.0,0.0,0.0,0.0,0.0,4.415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-18,14.634998,2.565,0.0,0.0,2.7649999,0.095,0.0,0.0,0.0,17.109999,0.0,8.335,0.0,1.615,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-19,2.46,2.8199997,0.0,0.0,0.0,1.8800001,1.78,0.0,0.0,0.0,2.78,0.745,0.0,1.18,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-20,1.875,0.0,0.0,0.0,0.0,0.12,1.3599999,0.0,0.0,0.0,0.0,7.64,0.0,0.66999996,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-21,1.295,0.0,0.695,0.0,11.1,0.0,1.6299999,0.0,1.815,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.099999994,0.0
2020-02-22,0.0,2.3600001,0.0,0.0,5.715,0.0,0.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-23,1.91,0.0,0.0,0.0,0.0,0.0,5.0099998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-24,0.55,0.0,2.9650002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8849998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-25,33.01,0.7,0.645,0.0,0.0,0.0,0.0,0.47499996,0.0,0.0,0.0,1.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-26,18.295,0.0,0.16999999,4.095,5.9349995,0.0,2.405,0.0,0.0,0.0,0.0,0.54999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45999998
2020-02-27,11.084999,0.0,2.375,0.33499998,0.39499998,0.0,1.165,14.119999,0.0,0.0,0.0,6.6849995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-28,3.8600001,0.0,7.629999,0.0,0.16499999,0.0,0.125,0.91999996,0.0,0.27499998,0.36,0.0,0.0,5.9100003,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-29,7.6300006,0.0,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.145,0.13999999,0.0,0.555,0.0,0.40500003,0.0,0.0,0.0,0.0
2020-03-01,5.995,0.0,1.3499999,0.01,0.0,0.0,0.0,3.9499998,0.0,0.0,0.0,0.0,0.0,4.895,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-02,6.2599998,0.0,0.87,10.304999,0.19999999,0.0,0.515,0.0,0.0,0.0,0.0,0.0,0.0,13.915,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-03,14.74,0.0,0.024999999,2.5149999,0.0,0.0,0.71,0.0,0.0,0.0,0.0,0.0,0.0,2.695,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-04,2.89,0.0,3.03,2.575,1.2249999,0.0,1.035,0.0,0.0,0.0,0.0,0.0,0.0,9.765,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-05,4.665,0.48,24.095001,0.0,10.795,0.0,0.215,1.435,0.0,0.0,0.0,0.0,0.0,0.66,0.0,1.25,0.0,0.0,0.0,0.0
2020-03-06,38.68,0.505,4.7899995,0.9,8.32,0.0,2.05,0.0,0.0,0.0,0.0,0.125,0.0,0.16499999,0.0,1.06,0.0,0.0,0.0,16.26
2020-03-07,6.5399995,0.0,0.14,30.335,4.3,0.0,0.8399999,0.40500003,0.0,0.0,0.0,0.0,0.0,3.35,0.0,0.0,0.0,0.0,0.07,0.0
2020-03-08,2.475,0.0,0.20499998,4.7549996,0.0,0.0,0.53499997,6.9350004,0.0,0.7950001,0.0,0.065,0.0,18.015,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-09,10.440001,1.905,4.25,4.5649996,0.0,0.0,5.52,2.67,0.0,4.0550003,0.0,1.1249999,0.0,24.2,0.0,3.5950003,0.0,0.0,0.0,1.5749999
2020-03-10,5.2599993,5.3300004,0.22999999,0.905,18.92,0.0,3.9699998,0.0,0.0,0.0,0.45,0.0,0.0,4.495,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-11,21.810001,0.21000001,11.874999,24.839996,12.450001,0.0,1.4350001,0.48499995,0.22999999,3.4650002,0.10000001,0.61499995,0.0,29.684998,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-12,4.69,0.85,0.90999997,0.20499998,5.8549995,0.0,0.40999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67499995,0.0,0.26,0.0,0.0,0.0
2020-03-13,1.005,0.0,3.1599998,0.0,15.400002,0.0,1.0049999,0.0,0.0,0.735,0.0,9.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-14,3.7149992,0.0,1.91,6.425,12.679999,0.0,0.16,0.29,0.0,4.6249995,0.0,0.005,0.0,0.71,0.0,0.0,0.0,0.0,0.0,0.19999999
2020-03-15,11.96,0.185,6.0549994,12.839999,27.219997,0.0,2.615,0.0,0.0,0.385,0.525,2.305,0.0,8.47,0.0,25.679996,0.0,0.0,0.0,0.775
2020-03-16,12.824997,12.95,10.84,18.019999,18.099998,0.0,11.1,4.555,0.0,9.74,0.155,3.9399996,0.0,43.39,0.0,11.895,30.244999,0.0,0.0,0.13499999
2020-03-17,26.07,1.335,1.295,6.175,16.085,0.0,0.73,11.1,0.0,0.055,0.0,2.46,0.0,3.065,0.0,4.205,5.225,0.0,0.0,1.925
2020-03-18,15.32,0.0,14.554999,1.8499999,4.475,0.0,9.679999,0.0,0.0,0.065,0.0,5.25,0.0,1.87,0.0,5.425,1.3899999,0.0,0.0,4.62
2020-03-19,5.46,0.0,0.0,0.63,12.285,0.0,3.25,3.4899998,0.0,0.59999996,0.0,0.099999994,0.0,5.3150005,0.0,1.515,0.0,0.0,0.17999999,6.41
2020-03-20,3.5299997,0.074999996,1.2750001,7.17,5.815,0.0,0.695,0.0,0.39999998,0.0,0.0,3.2949996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1549997
2020-03-21,22.269999,7.649999,10.605,10.41,39.734993,0.0,0.32,4.225,0.0,0.0,0.0,2.85,0.0,3.0349998,0.0,7.305,6.005,0.0,0.0,0.93
2020-03-22,13.709997,7.9699993,5.9750004,39.525,18.02,0.0,7.625,0.235,0.0,0.0,0.0,5.6799994,0.0,3.2450001,0.0,24.779999,13.744999,0.0,0.0,18.795
2020-03-23,4.565,1.42,0.0,5.33,4.2749996,0.0,0.92999995,0.0,0.0,0.12499999,0.0,0.0,0.0,8.745001,0.0,0.76,3.4850001,0.0,0.0,0.0
2020-03-24,19.874998,0.17,0.0,1.8499999,2.74,0.0,0.255,0.0,0.0,0.0,0.0,0.0,0.0,4.145,0.0,0.0,5.4599996,0.0,0.0,0.0
2020-03-25,0.32,20.119999,0.0,4.9049997,4.1299996,0.0,0.605,0.0,0.0,0.0,0.0,0.0,0.0,3.6349998,0.0,0.0,0.715,0.0,0.0,0.0
